140b029b0 :aAction
140b0b808 :cNetRoomCmu::MsgMatchReadyOk
140b0b740 :cNetRoomCmu::MsgParam
140b0b6e0 :cNetRoomCmu::MsgPlayerBattleAfterState
140b0b690 :cNetRoomCmu::MsgPlayerBattleRecord
140b0b6b8 :cNetRoomCmu::MsgPlayerBattleRecordAfter
140b0b650 :cNetRoomCmu::MsgPlayerInfo
140b0b630 :cNetRoomCmu::MsgPlayerInfoAll
140b0b670 :cNetRoomCmu::MsgPlayerResult
140b0b708 :cNetRoomCmu::MsgRoomID
140b0b778 :cNetRoomCmu::MsgRoomInfo
140b0b7b8 :cNetRoomCmu::MsgRoomLog
140b0b758 :cNetRoomCmu::MsgRoomRecord
140b0b720 :cNetRoomCmu::MsgRoomState
140b0b7d0 :cNetRoomCmu::MsgRoomVer
140b0b610 :cNetRoomCmuEventListener
140b0b9e0 :cNetScoreDownload
140b0b9f8 :cNetScoreDownloadListener
140b0bad0 :cNetScoreUpload
140b0bae0 :cNetScoreUploadListener
140b0bc60 :cNetStep
140b0bc88 :cNetStep::MsgFromHost
140b0bca0 :cNetStep::MsgFromHostFlag
140b0bc70 :cNetStep::MsgToHost
140b0aea0 :cNetTitleStorageDownload
140b0bde0 :cNetworkHandshake
140b0bdf8 :cNetworkHandshake::MsgNetworkHandshake
140b0be20 :cNetworkHandshake::MsgNetworkHandshakeGallery
140b05448 :cPlayData
140b058b8 :cPlayDataAccumulate
140b05bc0 :cSecret
140afb660 :cShake
140afb6b0 :cShakeParam
140b06630 :cSPCData
140ebed83 :fRj;r
140a6ceb4 :mAb2F
140a6d5b8 :mAb2FEq
140b07580 :mAb2Flag
140a6d5a8 :mAb2FNTst
140a6d598 :mAb2FTst
140b07570 :mAbiFlag
140a6d368 :mAbility
140a6d378 :mAbilityN
140a70b78 :mAbilityType
140a6ceac :mAblF
140a6d590 :mAblFEq
140a6d580 :mAblFNTst
140a6d570 :mAblFTst
140a76420 :mAbsoluteMove
140ae7b70 :mAccele
140a8f338 :mAccMode
140b81590 :mAchievementHddCapacity
140b81540 :mAchievementInitResult
140b81570 :mAchievementInstallProgress
140b815c0 :mAchievementReadCount
140b81558 :mAchievementStartResult
140b815a8 :mAchievementWriteCount
140a87bec :mActId
140a92d50 :mActionTime
140b75818 :mActiveRoomID
140a87bf8 :mActName
140b02558 :mActorGameModelAnm
140a6cf40 :mActRate
140ae7b88 :mAddGravity
140b73074 :mAddPP
140af42b0 :mAddRotYD
140af42a0 :mAddRotYU
140a8f540 :mAddUV
140a8f470 :mAddUV0
140a8f478 :mAddUV1
140a8f480 :mAddUV2
140afb5d8 :mAddUVAllocNum
140a6ed68 :mAdvGType
140b05668 :mAdvGuard
140b05648 :mAerialRave
140b7c878 :mAfterPlayerNum
140b1e9e8 :mAfterWaitTime
140a6e030 :mAimBlend
140a6c570 :mAimDist
140b23a20 :mAimPos
140aff3a8 :mAimRange
140a6e400 :mAimRot
140a6e408 :mAimScale
140aff3a0 :mAimSdl
140b23a28 :mAimSize
140a6e3f0 :mAimTrans
140a6c57c :mAimX
140a6c584 :mAimY
140a6eab8 :mAirDash
140a6e9a8 :mAirDist
140a6e9c8 :mAirFallAcl
140a6d3e8 :mAirSpatk
140a6d3f8 :mAirSpatkEach
140a6e9b8 :mAirSpeed
140a6e988 :mAirTime
140a6e998 :mAirTimeOfs
140a6cc10 :mAlive
140a6cc18 :mAliveMember
140a743f8 :mAllElementNum
140b74388 :mAllMissionSelectMarvel
140b23728 :mAlphaTest
140b23738 :mAlphaTestCmpFunc
140b23750 :mAlphaTestCmpFuncRef
140a6d850 :mAngleOfs
140b1bd80 :mAngleOrig
140afb6a0 :mAngleVec
140a858b0 :mAngleWeight
140b22c80 :mAnimeAttr0
140b22cc0 :mAnimeAttr1
140b22f00 :mAnimeAttr10
140b22f40 :mAnimeAttr11
140b22f80 :mAnimeAttr12
140b22fc0 :mAnimeAttr13
140b23000 :mAnimeAttr14
140b23040 :mAnimeAttr15
140b23080 :mAnimeAttr16
140b230c0 :mAnimeAttr17
140b23100 :mAnimeAttr18
140b23140 :mAnimeAttr19
140b22d00 :mAnimeAttr2
140b23180 :mAnimeAttr20
140b231c0 :mAnimeAttr21
140b23200 :mAnimeAttr22
140b23240 :mAnimeAttr23
140b23280 :mAnimeAttr24
140b232c0 :mAnimeAttr25
140b23300 :mAnimeAttr26
140b23340 :mAnimeAttr27
140b23380 :mAnimeAttr28
140b233c0 :mAnimeAttr29
140b22d40 :mAnimeAttr3
140b23400 :mAnimeAttr30
140b23440 :mAnimeAttr31
140b22d80 :mAnimeAttr4
140b22dc0 :mAnimeAttr5
140b22e00 :mAnimeAttr6
140b22e40 :mAnimeAttr7
140b22e80 :mAnimeAttr8
140b22ec0 :mAnimeAttr9
140b7ad70 :mAnimeBoardType
140b22af8 :mAnimeDataNum
140b7c8a8 :mAnimeFrameInfo
140b7c898 :mAnimeFrameSdl
140b22348 :mAnimeType
140b22358 :mAnimeTypeReq
140a6cc00 :mAnmChangeNum
140ae8420 :mAnmChengeTime
140a6db70 :mAnmF
140a6d450 :mAnmFEq
140a6d440 :mAnmFNTst
140afaab0 :mAnmFrameOld
140a6d430 :mAnmFTst
140a6d388 :mAnmMark
140a6d3a0 :mAnmMarkOld
140a6a644 :mAnmNo
140a6f0a8 :mAnmNoCombo
140b02570 :mAnmNoOld
140b02580 :mAnmNoReq
140a6e808 :mAnmNoReqAlive
140a6e828 :mAnmNoReqCmd
140a6e818 :mAnmNoReqStd
140b025a0 :mAnmNoTakeon
140a6d3b0 :mAnmOld
140b025d0 :mAnmRate
140b02600 :mAnmSerial
140b025b0 :mAnmTime
140b025c0 :mAnmTimePass
140b02590 :mAnmTimeReq
140a6b8c0 :mAnmType
140b025e0 :mAnmWait
140b025f0 :mAnmWaitTime
140b78768 :mAnnounceType
140a79858 :mApproachSpeed
140aff298 :mArcadeCount
140b07448 :mArcadeDif
140b14358 :mArcadeOption
140b080f0 :mArcadeScore
140b07618 :mArcadeStg
140a6cbf0 :mArmorXFactor
140a6cc58 :mAssist
140b7a748 :mAssistColor
140b1c0f8 :mAssistHide
140a6e7b0 :mAssistType
140a6cc60 :mAssistUse
140ae7c80 :mAtkBaseMatrix
140a6ef00 :mAtkChrInfo
140b0c528 :mAtkCnt
140b05518 :mAtkCounterHit
140a6ee60 :mAtkCtrl
140ae7ac8 :mAtkDiv
140ae7ae0 :mAtkDiv2
140ae7ad0 :mAtkDivCnt
140ae7af0 :mAtkDivCnt2
140b05478 :mAtkHigh
140b05498 :mAtkHighGuard
140b05488 :mAtkHighHit
140a6a5d8 :mAtkInfoId
140b054d0 :mAtkLow
140b054e8 :mAtkLowGuard
140b054d8 :mAtkLowHit
140ae7c70 :mAtkMatrix
140b054a8 :mAtkMid
140b054c0 :mAtkMidGuard
140b054b0 :mAtkMidHit
140a6cf20 :mAtkRate
140b0c500 :mAtkRateEAHB
140b054f8 :mAtkThrow
140b05508 :mAtkThrowFail
140a78988 :mAtkTime
140a6e3a0 :mAttachDst
140ad8d20 :mAttachJoint
140ad8d30 :mAttachOfs
140ad8d40 :mAttachWay
140a7a7c8 :mAttackAnmSerial
140ae7b20 :mAutoAddDivStartTime
140b3a9d8 :mAutoCr
140bca090 :mAutoCreation
140b3a9e0 :mAutoCrSize
140b3a9f0 :mAutoParentCr
140b7f268 :mAutoRender
140b7f278 :mAutoRenderOff
140b7f288 :mAutoRenderOffBorderline
140b7f2a8 :mAutoRenderOffResumeTime
140a930a0 :mAvoidEC00
140a930b0 :mAvoidECHitCount
140afb7e0 :mBackup
140b058d0 :mBackup.mBattle
140b05978 :mBackup.mDraw
140b059d0 :mBackup.mExFinish
140b05a18 :mBackup.mFirstAttack
140b05a00 :mBackup.mKezuriFinish
140b05938 :mBackup.mLose
140b05948 :mBackup.mLoseStreak
140b05960 :mBackup.mLoseStreakMax
140b058e0 :mBackup.mNetworkWatch
140b05988 :mBackup.mPerfect
140b05a68 :mBackup.mRadarAtk
140b05a80 :mBackup.mRadarAtk2
140b05a50 :mBackup.mRadarBalance
140b05a98 :mBackup.mRadarDef
140b05ab0 :mBackup.mRadarDef2
140b059b8 :mBackup.mTimeOverLose
140b059a0 :mBackup.mTimeOverWin
140b059e8 :mBackup.mVComboFinish
140b058f8 :mBackup.mWin
140b05908 :mBackup.mWinStreak
140b05920 :mBackup.mWinStreakMax
140b075d0 :mBackupCtrlModeType
140b075a8 :mBackupMainChrFlag
140b075c0 :mBackupStgID
140a6ea34 :mBAcl
140b210e8 :mBarOffset
140af2140 :mBaseJntNo
140b3a870 :mBaseMapFactor
140ae7c50 :mBaseMatrix
140b21098 :mBaseSizeDefault
140b0c828 :mBattle
140b0c530 :mBattleCnt
140a92e00 :mBattleCount
140b05468 :mBattleFlag
140afaca8 :mBattleFrame
140b0f5e0 :mBattleStartTime
140b05458 :mBattleTime
140a6d744 :mBeat
140a99528 :mBeforeMode
140a76410 :mBehindPosX
140a6e040 :mBlendBase
140a6e068 :mBlendMin
140a6e050 :mBlendOrderFrame
140b151d0 :mBlendState
140a6b6c0 :mBlockingHitSlow
140a6b678 :mBlockingHitSlowDelay
140a6b690 :mBlockingHitSlowOrder
140a6b660 :mBlockingHitSlowTime
140a6b7b8 :mBlockingHitSlowTimeInitDmgEx
140a6b778 :mBlockingHitSlowTimeInitDmgM
140a6b798 :mBlockingHitSlowTimeInitDmgS
140a6b758 :mBlockingHitSlowTimeInitDmgW
140a6b738 :mBlockingHitSlowTimeInitEx
140a6b6f8 :mBlockingHitSlowTimeInitM
140a6b718 :mBlockingHitSlowTimeInitS
140a6b6d8 :mBlockingHitSlowTimeInitW
140a6ee38 :mBlockingKind
140b06b60 :mBlockingNum
140a6ecc8 :mBlockingTimer
140a6ecd8 :mBlockingTimerInit
140a6ed98 :mBlockNgTime
140a6eda8 :mBlockNgTimeMax
140a6edb8 :mBlockOkTime
140a6edc8 :mBlockOkTimeMax
140a6edd8 :mBlockOkTimeMaxDefault
140a6ee08 :mBlockOkTimeMaxGDefault
140a6ee20 :mBlockOkTimeMaxGN
140a6edf0 :mBlockOkTimeMaxN
140a6e7a4 :mBody
140a6ec68 :mBoneCount
140b0c424 :mBonus
140a6c2a8 :mBossParam.mCharDist
140a6c278 :mBossParam.mChrRad1P
140a6c290 :mBossParam.mDistance
140a6c248 :mBossParam.mPosHeight
140a6c2c0 :mBossParam.mRaiseRateFar
140a6c260 :mBossParam.mTarHeight
140a6c230 :mBossParam.mZoomMin
140a6c3c8 :mBossX
140a93088 :mBoundAclMinRate
140a93060 :mBoundAclRate
140a9c1c0 :mBoundCount
140a93070 :mBoundSpdMinRate
140a93050 :mBoundSpdRate
140b807c8 :mBranchDrawMode
140b218b0 :mBranchPass
140b218c0 :mBranchPriority
140a8d000 :mBreakGroupFlag
140a8d010 :mBreakTime
140a6ea2c :mBSpd
140a87c90 :mBsrCnt
140a6d0d8 :mBtnChrg
140a92dd0 :mBtnRestart
140a7acf0 :mButtobiLife
140a77370 :mButtonRepeatNum
140ae7bb8 :mCameraEdgeDistance
140af4338 :mCameraPosOfs
140a6c690 :mCameraSubPos
140af4348 :mCameraTargetOfs
140b23890 :mCamFix
140af2038 :mCamLength
140ae98b8 :mCamPos
140ae98c0 :mCamPosRange
140aea828 :mCamPosX
140aea4b0 :mCamPosY
140a6bf68 :mCamRadAdjustRate
140aea838 :mCamThreshold
140afacb8 :mCamVibFlag
140b1c950 :mCancel
140a6c708 :mCancelThreshold
140a6cd78 :mCAngle
140a6cd80 :mCAnmF
140a6cd38 :mCAnmNo
140a6cd50 :mCAnmNoHVR
140a6cd40 :mCAnmNoReq
140a6cd60 :mCAnmTimePass
140b22390 :mCaptureWait
140b223b0 :mCaptureWaitTime
140b20af0 :mCardIdx
140b77fb0 :mCardList
140b77fa0 :mCardListNum
140b7c8b8 :mCardTarget
140b14398 :mCautionMultiPlay
140a6c840 :mCCVoice1
140a6c850 :mCCVoice2
140a6cd98 :mCDmgF
140b15220 :mCenterAttr
140a6cd90 :mCEtcF
140b7e1e0 :mChageFrame
140a6f048 :mChainArray
140a78968 :mChainCnt
140a78978 :mChainCnt2
140a6f058 :mChainColArray
140a6ec00 :mChainCount
140a6f068 :mChainResArray
140b7e1c8 :mChange
140b1c0a8 :mChangeChrTime
140a6cc38 :mChangeEnable
140a6cc48 :mChangeEnable2
140b7e1d0 :mChangeTarget
140b22368 :mChangeTexture
140a6bf80 :mCharDist
140a72e80 :mChargeLV
140a6d128 :mChargeTime
140b7c908 :mChatActDrawFrame
140b7c920 :mChatActType
140ae7cf8 :mCheckAnmTime
140b136f0 :mCheckDisableForce
140b053a8 :mCheckOnMemoryTilteStorage
140b14340 :mCheSelTimeUpOff
140a6fcd8 :mChgOrder
140a6ed48 :mCHitType
140b0fb00 :mChnColElementNum
140b0faf0 :mChnElementNum
140b21058 :mChoiceAttr
140b19cb0 :mChoiceHandle
140b21088 :mChoiceNum
140b21040 :mChoiceType
140a6fd28 :mChrArc
140b7a7b8 :mChrColorPos
140a6db68 :mChrF
140a6d428 :mChrFEq
140afc1f0 :mChrFlag
140a6d418 :mChrFNTst
140a6d408 :mChrFTst
140afcff0 :mChrHeight
140a6bfb0 :mChrHeightBase
140b7a7a8 :mChrHeightPos
140a6d8fc :mChrId
140b7a7c8 :mChrIdOld
140afd4f8 :mChrParamArray
140afd4e0 :mChrParamArrayNum
140a6bf20 :mChrRad1P
140a6bf30 :mChrRad2P
140b3e778 :mChrSelArray
140b14558 :mChrSelAssist[0]
140b14570 :mChrSelAssist[1]
140b14538 :mChrSelCol[0]
140b14548 :mChrSelCol[1]
140b140b8 :mChrSelectDecideFrame
140b14150 :mChrSelPhase
140b145a8 :mChrSelRandAll
140b08100 :mChrSelSelectStgId
140b141a0 :mChrSelSignedIn
140b14588 :mChrSelStg
140b14598 :mChrSelStgOld
140b14518 :mChrSelType[0]
140b14528 :mChrSelType[1]
140a858f8 :mChrState
140b3e848 :mChrTbl
140b3e850 :mChrTblMax
140b7ade8 :mChrUseRankIdList
140b7add8 :mChrUseRankNum
140b7a798 :mChrWidthPos
140bca0f0 :mClassIndex
140bca0e0 :mClassName
140a930c8 :mClearChrType
140b08188 :mClearFlag
140b73060 :mClrSelLoopCntMax
140b77fc0 :mCLScrollIndex
140b77fd0 :mCLScrollIndexOld
140b77fe8 :mCLScrollMax
140b77f90 :mCLSortType
140a6eee0 :mCmdCombo
140b1f280 :mCmdCount
140a87c1c :mCmdId
140a87c28 :mCmdName
140a87c08 :mCmdNum
140a6eed0 :mCmdSpatk
140a6d118 :mCmdStep
140a6b8a0 :mCmdStop
140a87c10 :mCmdType
140a6c820 :mCmnData
140a6b8e8 :mCmpF32
140a6b8e0 :mCmpS32
140afb5b0 :mCngColorAllocNum
140a6b8d8 :mCngKey
140afb5f8 :mCngReflectiveColorAllocNum
140afb5c8 :mCngUVAllocNum
140b028f8 :mCnsJointNum
140ae98a8 :mCnsLock
140af5e80 :mCnsLock_Hip
140aed168 :mCnsLock_Neck
140aed158 :mCnsLock_Weast
140a6f030 :mCnsNeck
140aefcc0 :mCnsOffset
140af2058 :mCnsPosInter
140b02908 :mCnsShareList
140b151f8 :mColor1
140b23898 :mColorBottom
140b7f140 :mColorFactor1
140b7f150 :mColorFactor2
140b17ec0 :mColorRate
140b055f8 :mCombo
140b05600 :mComboDmg5000
140a6ee70 :mComboDmgRate
140a6e8f8 :mComboDmgTotal
140a6ee80 :mComboGaugeRate
140b055a8 :mComboTotal
140b0f3d8 :mConnectLv
140b0cdf0 :mConnectState
140b075e8 :mContinue
140b7fd90 :mControllerEx
140b1fe60 :mControlRateIncrease
140afa680 :mCopyPass
140afeca8 :mCorpseList
140b08128 :mCountry
140b08138 :mCountryArea
140a6a628 :mCountTime
140a6cd30 :mCPlrId
140a6cd70 :mCPos
140a6cd88 :mCPrgF
140a87bc4 :mCpuLv
140a87bb8 :mCpuMode
140b734b8 :mCreateAnlockAnnounce
140b143b0 :mCreditTextTest
140a7f540 :mCrouchingTime
140b3e8c0 :mCtrlModeInit
140a92f30 :mCurExAtkSpaceType
140a85648 :mCurrentDir
140a6cc28 :mCurrentNum
140a85658 :mCurrentQuat
140a6f000 :mCurrentShotGroup
140b77f48 :mCursor
140b3f168 :mCursorAnimeTime
140b77f50 :mCursorOld
140b782c0 :mCursorPoint
140b3f148 :mCursorPos
140b3f158 :mCursorPosOld
140b75844 :mCutID
140b80318 :mCutInFactor
140b75850 :mCutOldID
140b75838 :mCutStartID
140a6ea24 :mDAcl
140a763b8 :mDamageAnime
140afb140 :mDamageAvg
140afafd8 :mDamageCnt
140a76430 :mDamageFrame
140afafe8 :mDamageFrm
140a92fd8 :mDamageRate
140b20b28 :mDarkScale
140bcab58 :mData.attr
140bca828 :mData.axis
140bca908 :mData.dir
140bca808 :mData.jointNo
140bcaee8 :mData.jointNum
140bca818 :mData.order
140bcab68 :mData.parentNo
140bca838 :mData.rotMax
140bca848 :mData.rotMin
140bca928 :mData.targetJointNo
140bca940 :mData.targetPos
140bca918 :mData.up
140b10ff0 :mDataF32
140b10fc8 :mDataU32
140a855a8 :mDbgDraw
140a6dbb8 :mDbgF
140bb33e8 :mDClipEnable
140b1c890 :mDeadCutIn
140b1bd08 :mDeadPool
140b1bcd8 :mDeadPoolEndPos
140b1bd18 :mDeadPoolExThrow
140b1bcf8 :mDeadPoolFrame
140b1bce8 :mDeadPoolPhase
140b1e350 :mDeadPoolWait1
140b1e360 :mDeadPoolWait2
140b1e338 :mDeadPoolWaitCnt
140b77f60 :mDeck[i]
140b066b8 :mDeckId[ 0 ]
140b06720 :mDeckId[ 1 ]
140a6e3d0 :mDefActive
140b3f5f0 :mDefaultAssistColor
140b7a7e8 :mDefaultCursorAnimeNo
140b75fb0 :mDefaultDepth
140a92f18 :mDefaultEftVolume
140b75f90 :mDefaultPass
140b3f608 :mDefaultSilhouetteColor
140b22798 :mDefaultSize
140b0c520 :mDefCnt
140a6e3b0 :mDefJoint
140a6db28 :mDefMemberId
140a6e3e0 :mDefVisible
140a6ca08 :mDelay
140b202f8 :mDelayFrame[0]
140b20318 :mDelayFrame[1]
140b20338 :mDelayFrame[2]
140b20358 :mDelayFrame[3]
140b20378 :mDelayFrame[4]
140b20398 :mDelayFrame[5]
140b202e8 :mDelayMaxFrame
140a6a608 :mDelayTime
140a6e7e8 :mDeltaRateAnm
140a8e3f8 :mDeltaTimeLocal
140a6cae8 :mDeltaTimeOrder
140b14380 :mDemoLoopOff
140b20b90 :mDepthDefault
140b20b80 :mDepthOffset
140a76398 :mDepthTarget
140b07590 :mDEscType
140b402e0 :mDeside
140a798a8 :mDestDepth
140b05810 :mDestroy
140a92f48 :mDestroyExAtkSpace
140a6cc80 :mDHCCount
140a6eea0 :mDHCDmgRate
140b1c568 :mDirBtn
140b05728 :mDirectAtkD
140b05738 :mDirectAtkDHit
140b05708 :mDirectAtkF
140b05718 :mDirectAtkFHit
140b056e8 :mDirectAtkU
140b056f8 :mDirectAtkUHit
140b05798 :mDirectCounterD
140b05788 :mDirectCounterF
140b05778 :mDirectCounterU
140b05768 :mDirectDmgD
140b05758 :mDirectDmgF
140b05748 :mDirectDmgU
140b14368 :mDispOffAssistHelpBtn
140a6db48 :mDistH
140a6c3a8 :mDistRate
140b14190 :mDlcCountMain
140b14170 :mDlcCountNet
140b141c8 :mDLCLoadErrorAccess
140b141e0 :mDLCLoadErrorNoMenu
140b78750 :mDLCMsg
140b14180 :mDlcPhaseMain
140b14160 :mDlcPhaseNet
140a6e928 :mDmgAirHitCount
140a6e958 :mDmgAirTime
140a6ef10 :mDmgChrInfo
140b05598 :mDmgCounterHit
140a6e8f0 :mDmgDir
140a6db90 :mDmgF
140a6d4f0 :mDmgFEq
140a6d4e0 :mDmgFNTst
140a6d4d0 :mDmgFTst
140a6e938 :mDmgHeap
140b05528 :mDmgHigh
140b05538 :mDmgHighGuard
140a6e918 :mDmgHitCount
140b05560 :mDmgLow
140b05568 :mDmgLowGuard
140a6e8e0 :mDmgMaterial
140b05548 :mDmgMid
140b05550 :mDmgMidGuard
140a6e8d0 :mDmgPoint
140a6e8c0 :mDmgPowLv
140a6cf30 :mDmgRate
140a6db60 :mDmgSta
140b05578 :mDmgThrow
140b05588 :mDmgThrowEsc
140a6e948 :mDmgTime
140a6cba0 :mDmgTotal
140a6cbd0 :mDmgXFactor
140b0c440 :mDoubleupPoint
140a6ed38 :mDownEscType
140a83578 :mDownMax
140a83568 :mDownMin
140b75f08 :mDrawBase
140b73a08 :mDrawFlag
140a6c6f8 :mDrawFrmCnt
140b0c2d8 :mDrawLast
140b0c358 :mDrawNow
140b0c3c0 :mDrawOld
140b7c868 :mDrawPlayerNum
140b743a0 :mDrawPos
140b78748 :mDrawPP
140af2150 :mDrawSphere
140b40340 :mDrawStgId
140b1cbe8 :mDrawTimeCount
140b3fff0 :mDrawType2P
140b1bd50 :mDrawViewOrig
140a6ea1c :mDSpd
140a6ca20 :mDstAnm
140a6ca18 :mDstId
140ae7b00 :mDurability
140ae7b10 :mDurabilitySub
140b75800 :mEartAtkAnimeSet
140b0c510 :mEarthAtkPoint
140b10060 :mEarthAtkVingoParam
140a855f4 :mEase
140a7b240 :mEffectShotInterval
140a7b228 :mEffectShotLastTime
140a7b210 :mEffectShotTimer
140aec300 :mEftGroup
140a6b908 :mEftRetU32
140aff420 :mEftThresholdBack
140aff3f8 :mEftThresholdFront
140a739c0 :mEftUnitDelay
140a6bba0 :mEnableFollow
140b75560 :mEndAnime
140a8f3e8 :mEndColor
140a76458 :mEndDamageColor
140a7b258 :mEndFlyHeight
140a8f420 :mEndUV0
140a8f438 :mEndUV1
140a8f450 :mEndUV2
140b21a10 :mEndWait
140a6e894 :mEPCnt
140b12b88 :mError
140ae9898 :mEscStateEnd
140a6dba0 :mEt2F
140a6d540 :mEt2FEq
140a6d530 :mEt2FNTst
140a6d520 :mEt2FTst
140a6db98 :mEtcF
140a6d518 :mEtcFEq
140a8ca70 :mEtcFlagCheck
140a6d508 :mEtcFNTst
140a6d4f8 :mEtcFTst
140b08170 :mEventData
140b1d558 :mEventStep
140b05624 :mExAtk
140b05630 :mExAtkHit
140afd9a0 :mExcite
140afb150 :mExciteCnt
140aed148 :mExcitePer
140a6f03c :mExCpu
140b78720 :mExCpuNameCount
140b78730 :mExCpuNameCountId
140b0c8c0 :mExFinish
140b73a70 :mExitApp
140b73a28 :mExitCam
140a711e8 :mExmoveJSpd
140a71208 :mExmoveYAcl
140a711f8 :mExmoveYSpd
140ab6050 :mExplodeCount
140a6dda0 :mEyeLength
140a6ddf0 :mEyeMatCtrl
140a6f024 :mEyes
140a6dd90 :mEyeSpeed
140a6e8a0 :mFaceParts
140a6e9e8 :mFAcl
140b1c198 :mFactorColorAnmStep
140b7a81c :mFade
140b14278 :mFadeDispFrame
